"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ritter A.","Ritter, A. (56243420800)","56243420800","Architectural applications of smart textiles","2013","Multidisciplinary Know-How for Smart-Textiles Developers","","","","468","488","3","10.1533/9780857093530.3.468","https://www.scopus.com/pages/publications/84903650549?origin=resultslist","Ritter architekten, 53474 Bad Neuenahr-Ahrweiler, Telegrafenstrasse 11, Germany","Ritter A., Ritter architekten, 53474 Bad Neuenahr-Ahrweiler, Telegrafenstrasse 11, Germany","This chapter starts with an introduction about key themes and important factors in modern architecture. It then gives some general informations about smart materials, which can be divided into the categories of property-changing smart materials, energy-generating and exchanging smart materials, and matter-exchanging smart materials. Then some examples are given of existing smart textiles for architectural applications, which include light-emitting metal mesh, self-cleaning membranes, self-healing textiles, shape memory interior textiles and innovative actuators, made through the use of smart textiles. The chapter ends with future trends for exterior textiles, actuators and interior textiles. © 2013 Woodhead Publishing Limited All rights reserved.","Adaptive architecture; Energy-exchanging smart materials; Energy-generating smart materials; Kinetic architecture; Matter-exchanging smart materials; Property-changing smart materials; Smart building textile; Smart polymer actuator","Actuators; Light emission; Metal cleaning; Smart Polymers; Smart textiles; Adaptive architecture; Future trends; General information; Kinetic architectures; Modern architectures; Self cleaning; Self-healing; Smart polymer actuators; Intelligent materials","","","A. Ritter; Ritter architekten, 53474 Bad Neuenahr-Ahrweiler, Telegrafenstrasse 11, Germany; email: info@ritter-architekten.com","","Elsevier Ltd","","978-085709342-4","","","English","Multidiscip. Know-How for Smart-Text. Dev.","Book chapter","Final","","Scopus","2-s2.0-84903650549"
"El-Mahdy D.; Youssef A.K.","El-Mahdy, Deena (57192871125); Youssef, Ahmed Khaled (57316526700)","57192871125; 57316526700","OPTIMIZATION OF AN ADAPTIVE ALGAE FAÇADE BASED ON SOLAR RADIATION SIMULATION","2022","International Journal of Computational Methods and Experimental Measurements","10","4","","314","328","3","10.2495/CMEM-V10-N4-314-328","https://www.scopus.com/pages/publications/85149115511?origin=resultslist","The British University, Egypt; Cosign Group, Egypt","El-Mahdy D., The British University, Egypt; Youssef A.K., Cosign Group, Egypt","Due to the climate crisis, extreme fluctuations in temperature are caused by the high sources of energy, and carbon consumption have a great impact on both construction and water resources management. Accordingly, the world today is paying attention to searching for cleaner energy resources. In Egypt, the extreme heat of the summer seasons causes constant air-conditioner (AC) usage in building to provide cooling, which produces outlet wastewater. The continuous flow of this outlet wastewater results in cracks and erosion among the facades that need maintenance. As a way to search for environmentally friendly material that can reuse this outlet water and reduce the solar radiation on the façade providing more cooler spaces, algae are suggested due to their availability in water from several sources in Egypt. This paper presents the assessment of an innovative façade element photobioreactors (PBR) made from algae on a real administrative building facade in Cairo. The aim is to evaluate digitally by simulation the solar radiation reduced from the façade that acts as a double green skin and self-watering system with an appealing aesthetic form preventing any erosion on the façade surfaces. The method of assessment is done using Ladybug plug-in simulation in Grasshopper plug-in in Rhino software based on the climatic data from EnergyPlus. Four main phases are followed: 1) the form generation of the façade using Rhinoceros software, 2) the simulation to assess the solar radiation before and after adding the PBR, 3) the evaluation phase to calculate the thermal conductivity and water temperature mathematically, and 4) fabrication of small-scale façade using the 3D-printed technique with algae filament. The results recorded a reduction in the solar radiation from 301 to 75 kWh/m2 comparing the current case of the building façade, while the thermal performance was 0.36 W/m2K, which is better than the most common materials used in arid climates such as rammed earth, fired brick, and concrete. The optimization of the algae tube length was based on the required outlet temperature that is suitable for plantation 15°C to help in reducing the water temperature. The finding addresses the significant role of using algae that can generate biomass to explore their benefits regarding their O2 production and CO2 absorption through 3D printing, which is considered a cleaner technology. © 2022 WIT Press.","3D printing; adaptive façade; additive manufacturing; algae; bioenergy; bioprinting; digital fabrication; green façade","","","","","","Wit Press","20460546","","","","English","Int. J. Comput. Methods Experiment. Meas.","Article","Final","","Scopus","2-s2.0-85149115511"
"Wang Z.; Duan Z.; Zhao X.; Chen M.","Wang, Z. (36791820800); Duan, Z. (26430631900); Zhao, X. (55705196100); Chen, M. (7407444368)","36791820800; 26430631900; 55705196100; 7407444368","Dynamic performance of a façade-based solar loop heat pipe water heating system","2012","Solar Energy","86","5","","1632","1647","55","10.1016/j.solener.2012.02.031","https://www.scopus.com/pages/publications/84859443262?origin=resultslist","Faculty of Civil and Transportation Engineering, Guangdong University of Technology, Guangzhou, Guangdong 510006, China; Department of Architecture and Built Environment, University of Nottingham, University Park, Nottingham NG7 2RD, United Kingdom; Institute of Energy and Sustainable Development, De Montfort University, The Gateway, Leicester LE1 9BH, United Kingdom; College of Environmental Science and Engineering, Nanjing University of Information Science and Technology, Nanjing 210044, China","Wang Z., Faculty of Civil and Transportation Engineering, Guangdong University of Technology, Guangzhou, Guangdong 510006, China; Duan Z., Department of Architecture and Built Environment, University of Nottingham, University Park, Nottingham NG7 2RD, United Kingdom; Zhao X., Institute of Energy and Sustainable Development, De Montfort University, The Gateway, Leicester LE1 9BH, United Kingdom; Chen M., College of Environmental Science and Engineering, Nanjing University of Information Science and Technology, Nanjing 210044, China","This paper reported a dedicated study of a novel façade-based solar loop heat pipe (LHP) water heating system using both theoretical and experimental methods. This system employs a modular panel incorporating a unique loop heat pipe that is able to serve as part of the building façade or a decoration layer of the façade, thus creating a façade integrated, low cost, highly efficient and aesthetically appealing solar water heating structure. Taking into account heat balances occurring in different parts of the system, e.g., solar absorber, heat pipes loop, heat exchanger and storage tank, a dedicated computer model was developed to investigate the dynamic performance of the system. An experimental rig was also established to evaluate the performance of such a prototype system through measurement of various operational parameters, e.g., solar radiation, temperatures and flow rates of the heat pipe fluid and water. Through comparison between the testing and modelling results, the model has been approved to be able to give a reasonable accuracy for predicting the performance of the LHP system. Two types of glass covers, i.e., double glazed/evacuated tubes and single-glazing plate, were applied to the prototype. It was found that for both covers, the heat pipe fluid temperature rose dramatically at the start-up operation and afterwards remained a slow but steady growth; while the water temperature remained a steadily growing trend throughout the operational day. The temperature rise of the circulated water at 1.6. l/min of flow rate was around 13.5 °C in the double-glazed/evacuated tubes based system and 10 °C in the single-glazing based system; correspondingly, their average solar conversion efficiencies were 48.8% and 36%, and the COPs were 14 and 10.5 respectively. In overall, the double-glazed/evacuated tubes based system presented a better performance than the single glazing based one. © 2012 Elsevier Ltd.","COP; Efficiency; Heat exchanger; Hot water; Loop heat pipe; Solar radiation","Conversion efficiency; Efficiency; Flow rate; Glazes; Heat exchangers; Hot water distribution systems; Solar equipment; Solar radiation; Sun; Tubes (components); COP; Dedicated computers; Dynamic performance; Experimental methods; Glass covers; Heat balance; Heat pipe fluids; Hot water; Loop Heat Pipe; Low costs; Operational parameters; Prototype system; Reasonable accuracy; Solar conversion efficiencies; Solar loops; Solar water heating; Start-ups; Storage tank; Temperature rise; Water heating systems; Water temperatures; accuracy assessment; building; computer simulation; experimental study; heat balance; heating; integrated approach; numerical model; performance assessment; pipe; solar power; solar radiation; theoretical study; water temperature; Heat pipes","","","X. Zhao; Institute of Energy and Sustainable Development, De Montfort University, The Gateway, Leicester LE1 9BH, United Kingdom; email: xzhao@dmu.ac.uk","","","0038092X","","SRENA","","English","Sol. Energy","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84859443262"
"Lo L.J.; Novoselac A.","Lo, L. James (55292745900); Novoselac, Atila (6505811667)","55292745900; 6505811667","Cross ventilation with small openings: Measurements in a multi-zone test building","2012","Building and Environment","57","","","377","386","70","10.1016/j.buildenv.2012.06.009","https://www.scopus.com/pages/publications/84863467109?origin=resultslist","The University of Texas at Austin, Department of Civil, Architectural and Environmental Engineering, Austin, TX 78712-1076, 1 University Station C1752, United States","Lo L.J., The University of Texas at Austin, Department of Civil, Architectural and Environmental Engineering, Austin, TX 78712-1076, 1 University Station C1752, United States; Novoselac A., The University of Texas at Austin, Department of Civil, Architectural and Environmental Engineering, Austin, TX 78712-1076, 1 University Station C1752, United States","Designing for wind driven cross ventilation is challenging due to the dynamic characteristics of wind. While numerous studies have used wind tunnels and computational fluid dynamics to study cross ventilation, few have utilized a full scale experimental approach. Thus, this paper provides measurements of wind properties, façade pressures, airflow rates through small window openings, and tracer gas concentrations for a multi-zone test building located in Austin, TX. This experimental data connects outdoor and indoor environments and demonstrates the dynamic nature of wind driven cross ventilation flow. Several interesting observations were made: (1) cross ventilation rate can be correlated to the velocity component of the approaching wind that is normal to the inlet openings; (2) obstructions that are far upwind of a building (e.g., kilometers) can have significant impacts on cross ventilation flows; (3) wind pressures on building façades are highly dynamic that a steady state assumption may not be appropriate; and (4) locations of openings that are leeward have a small impact on the overall flow rate, but significantly impact a building's internal flow distribution. This paper provides the summary of the collected data, while the detailed dataset is available upon request. © 2012 Elsevier Ltd.","Cross ventilation; Full scale experiments; Natural ventilation; Sustainable design","Austin; Texas; United States; Buildings; Computational fluid dynamics; Inlet flow; Wind effects; Air flow-rate; Cross ventilation; Data sets; Dynamic characteristics; Dynamic nature; Experimental approaches; Experimental data; Full scale; Full-scale experiment; Indoor environment; Internal flows; Natural ventilation; Significant impacts; Steady state; Sustainable design; Tracer gas; Velocity components; Wind pressures; Wind properties; architectural design; concentration (composition); design; experimental study; indoor air; pressure effect; ventilation; wind field; wind tunnel; Ventilation","Air-Conditioning Engineers; American Society of Heating; Indoor Environmental Science and Engineering; National Science Foundation, NSF, (DGE-0549428); National Science Foundation, NSF; American Society of Heating, Refrigerating and Air-Conditioning Engineers, ASHRAE","This study is made possible by the National Science Foundation IGERT Program : grant # DGE-0549428 , Indoor Environmental Science and Engineering —An Emerging Frontier, as well as the American Society of Heating, Refrigeration, and Air-Conditioning Engineers (ASHRAE) Graduate Student Grant-In-Aid Award.","L.J. Lo; The University of Texas at Austin, Department of Civil, Architectural and Environmental Engineering, Austin, TX 78712-1076, 1 University Station C1752, United States; email: ljameslo@gmail.com","","","03601323","","BUEND","","English","Build. Environ.","Article","Final","","Scopus","2-s2.0-84863467109"
"Midulla M.; Renaud A.; Martinelli T.; Koussa M.; Mounier-Vehier C.; Prat A.; Beregi J.-P.","Midulla, Marco (25823327000); Renaud, Armelle (55752433700); Martinelli, Thomas (6602539025); Koussa, Mohammad (6603547269); Mounier-Vehier, Claire (7005554245); Prat, Alain (7103277049); Beregi, Jean-Paul (7005968406)","25823327000; 55752433700; 6602539025; 6603547269; 7005554245; 7103277049; 7005968406","Endovascular fenestration in aortic dissection with acute malperfusion syndrome: Immediate and late follow-up","2011","Journal of Thoracic and Cardiovascular Surgery","142","1","","66","72","75","10.1016/j.jtcvs.2010.07.081","https://www.scopus.com/pages/publications/79959349592?origin=resultslist","Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France; Department of CardioVascular Surgery, Hôpital Cardiologique, CHRU de Lille, France; Department of Vascular Medicine, Hôpital Cardiologique, CHRU de Lille, France; Department of Cardiac Surgery, Hôpital Cardiologique, CHRU de Lille, France","Midulla M., Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France; Renaud A., Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France; Martinelli T., Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France; Koussa M., Department of CardioVascular Surgery, Hôpital Cardiologique, CHRU de Lille, France; Mounier-Vehier C., Department of Vascular Medicine, Hôpital Cardiologique, CHRU de Lille, France; Prat A., Department of Cardiac Surgery, Hôpital Cardiologique, CHRU de Lille, France; Beregi J.-P., Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France","Objective: To evaluate the immediate and long-term results of fenestration in aortic dissection with acute malperfusion syndrome. Methods: Between 1999 and 2007, 35 patients (31 men; age, 57 ± 11 years) with aortic dissection (19 with type A and 16 with type B) were treated by fenestration for malperfusion syndrome (27 renal, 27 bowel, and 14 lower limb) due to dynamic compression. Fenestration was performed with 2 rigid guidewires inserted in one 8F sheath (45 cm long). The mean interval between aortic dissection and fenestration was 5 days (28 patients within 3 days and 7 patients between 9 and 41 days). Results: Fenestration (100% technical success rate) with an additional endovascular procedure (29 peripheral stents and 1 thoracic stent graft) resulted in angiographic success in 97% of the patients. Bowel surgery was performed in 7 patients. Mortality within the first month (12/35) was related to bowel ischemia (n = 5), neurologic complications (n = 3), type A surgery (n = 2), and late treatment (n = 2). At a mean follow-up of 48 ± 30 months, 4 of the remaining 23 patients had died and 2 had withdrawn from the study. The diameter of the aorta, as measured using computed tomography/magnetic resonance imaging, remained stable in 12 of the remaining 17 patients and had increased in 5 (1 with Marfan syndrome and 4 with multiple arterial ectasia). Conclusions: In emergencies, fenestration saved 69% of the patients with acute malperfusion syndrome in complicated aortic dissection. During the follow-up period, the aortic diameter remained stable in most of the surviving patients. Copyright © 2011 by The American Association for Thoracic Surgery.","","Acute Disease; Aged; Aneurysm, Dissecting; Aortic Aneurysm; Aortography; Blood Vessel Prosthesis; Blood Vessel Prosthesis Implantation; Endovascular Procedures; Female; France; Humans; Ischemia; Magnetic Resonance Angiography; Male; Middle Aged; Prosthesis Design; Stents; Time Factors; Tomography, X-Ray Computed; Treatment Outcome; acute malperfusion syndrome; adult; aged; aorta dissection; artery disease; article; clinical article; endovascular surgery; female; fenestration; follow up; heart hemodynamics; human; male; Marfan syndrome; mortality; neurological complication; priority journal; reperfusion injury; stent; surgical technique; treatment outcome; Article; blood vessel diameter; cardiovascular mortality; cause of death; computer assisted tomography; intestine ischemia; intravascular catheter; nuclear magnetic resonance imaging; vascular disease; vascular guide wire; vascular stent","","","J.-P. Beregi; Department of CardioVascular Imaging and Intervention, Hôpital Cardiologique, CHRU de Lille, 59037 Lille Cedex, France; email: jean-paul.beregi@chru-lille.fr","","","1097685X","","JTCSA","21683839","English","J. Thorac. Cardiovasc. Surg.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-79959349592"
"Appelfeld D.; Svendsen S.","Appelfeld, David (36124637800); Svendsen, Svend (6603789284)","36124637800; 6603789284","Performance of a daylight-redirecting glass-shading system","2013","Energy and Buildings","64","","","309","316","9","10.1016/j.enbuild.2013.05.017","https://www.scopus.com/pages/publications/84879110265?origin=resultslist","Technical University of Denmark, Department of Civil Engineering, Section of Building Physics and Services, DK-2800 Kgs. Lyngby, Denmark","Appelfeld D., Technical University of Denmark, Department of Civil Engineering, Section of Building Physics and Services, DK-2800 Kgs. Lyngby, Denmark; Svendsen S., Technical University of Denmark, Department of Civil Engineering, Section of Building Physics and Services, DK-2800 Kgs. Lyngby, Denmark","This paper evaluates the daylighting performance of a prototype external dynamic shading and daylight-redirecting system, and the main focus is on the performance simulation. The demonstration project was carried out on a building with an open-plan office. Part of the original façade was replaced with the prototype façade. This layout allowed the use of the same orientation and surroundings for both façades. The working plane illuminance was measured over several months and the measurements were accompanied with annual daylight simulations. The prototype system improved the daylighting conditions compared to the original system. The visual comfort was evaluated by glare analysis and the redirected daylight did not cause an additional discomfort glare. The higher utilization of daylight can save 20% of the lighting energy. The thermal insulation of the fenestration was maintained, with slightly increased solar gains, but without producing an excessive overheating. © 2013 Elsevier B.V. All rights reserved.","Daylight; Illuminance measurements; Indoor climate; Redirecting light; Shading system; Visual comfort","Daylight simulation; Office buildings; Daylight; Illuminance measurement; Indoor climate; Shading systems; Visual comfort; Daylighting","Danish Energy Agency program for research and development of energy efficiency","The research for this study was funded by the Danish Energy Agency program for research and development of energy efficiency, PSO – F&U 2008 . The authors would like to thank the Danish Building Research Institute (SBi) for assisting and providing measured data.","D. Appelfeld; Technical University of Denmark, Department of Civil Engineering, Section of Building Physics and Services, DK-2800 Kgs. Lyngby, Denmark; email: dava@byg.dtu.dk","","","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-84879110265"
"Zaidi A.M.; Zaidi S.; Yashaswini G.M.","Zaidi, Anja Maria (57743992500); Zaidi, Sheeraz (57743992600); Yashaswini, G.M. (57744142300)","57743992500; 57743992600; 57744142300","Hybrid Landscapes of India: Communicators Between the Worlds","2022","Journal of Digital Landscape Architecture","2022","7","","692","703","1","10.14627/537724064","https://www.scopus.com/pages/publications/85132073479?origin=resultslist","Zoras India, Bangalore, India; Dsatm, School of Architecture, Bangalore, India","Zaidi A.M., Zoras India, Bangalore, India; Zaidi S., Dsatm, School of Architecture, Bangalore, India; Yashaswini G.M., Zoras India, Bangalore, India","This paper looks at the emergence of hybrid landscapes internationally and more specifically their emergence in India in the context of a changing world where digital technologies permeate many aspects of the human environment. It then looks at their ability to reconnect emerging landscapes with their pre-existing natural and social context as well as anchor people in the landscape and reconnect with the special qualities of the place. The paper argues that landscape architecture can create this sense of place by combining traditional and present-day materials with digital technology based on the example of a landscape project under construction in Hyderabad, India. We explore how the transformative forces of digital technology can be used in addition to the analogue materials and tools of landscape architecture to convey the story of a new landscape. This makes landscapes important communicators in a fast-changing world. Digital design tools in combination with traditional tools have to date been used widely in landscape architecture and the creative field. They have a drastic influence on the design process and the new forms available. TeamLabs has created interactive designs for the Kadokawa Culture Museum, in Mu-sashino Woods Park, Saitama, Japan that communicate between nature and user (PACE 2022). The paper shows that hybrid landscapes can utilise tools to translate natural systems and create seam-lessly integrated environments, from data-driven light installations, responsive sculptures, and per-formative materials, to smart highways, dynamic spaces, kinetic facades, and adaptive buildings (FOX 2016) to bridge the gap between a fast-changing physical world and a slowly disappearing site context or natural environment. Hybrid landscapes with the capacity to perceive, react to, and connect with humans and the natural world (FOX 2016) and man-made physical and social world, aim to ‘future-proof’ them for an ever-changing world of new environmental, social and economic requirements and challenges. As the project is not yet constructed, it will only be possible to measure whether the project achieves creating a sense of place through its hybrid design sometime after completion. This should be done through surveys of the users, data collection, observations and comparisons to other projects. © 2022, VDE VERLAG GMBH. All rights reserved.","adaptability; kinetic facade; performative design; sense of place; Tradition and modernity","","","","A.M. Zaidi; Zoras India, Bangalore, India; email: info@zoras.co.uk","","VDE VERLAG GMBH","23674253","","","","English","J. Digital Landsc. Arch.","Article","Final","","Scopus","2-s2.0-85132073479"
"Wang M.; Cao J.; Jia C.; Du C.; Han S.; Fukuda H.; Gao W.; Inoue T.","Wang, Menghan (58096713800); Cao, Jing (58618519300); Jia, Chao (57676683500); Du, Changyang (58718482300); Han, Shengnan (58311783500); Fukuda, Hiroatsu (23018756300); Gao, Weijun (55505206200); Inoue, Tomo (56048516700)","58096713800; 58618519300; 57676683500; 58718482300; 58311783500; 23018756300; 55505206200; 56048516700","Effectiveness of a dynamic living wall system of plants on indoor thermal environment in summer - An experimental study","2024","Journal of Building Engineering","98","","111266","","","6","10.1016/j.jobe.2024.111266","https://www.scopus.com/pages/publications/85208287543?origin=resultslist","Academy of Arts and Communications, Qingdao Binhai University, Qingdao, 26555, China; Faculty of Environmental Engineering, The University of Kitakyushu, Kitakyushu, 808-0135, Japan; College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China; Faculty of Arts and Science, Kyushu University, Fukuoka, 819-0395, Japan","Wang M., Academy of Arts and Communications, Qingdao Binhai University, Qingdao, 26555, China, Faculty of Environmental Engineering, The University of Kitakyushu, Kitakyushu, 808-0135, Japan; Cao J., College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China; Jia C., College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China, Faculty of Arts and Science, Kyushu University, Fukuoka, 819-0395, Japan; Du C., College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China; Han S., College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China; Fukuda H., Faculty of Environmental Engineering, The University of Kitakyushu, Kitakyushu, 808-0135, Japan; Gao W., Faculty of Environmental Engineering, The University of Kitakyushu, Kitakyushu, 808-0135, Japan, College of Architecture and Urban Planning, Qingdao University of Technology, Qingdao, 266033, China; Inoue T., Faculty of Arts and Science, Kyushu University, Fukuoka, 819-0395, Japan","Optimizing vertical greening systems to reduce their negative impact on buildings is important to reduce energy consumption. To reduce the long-term effects of fixed living plant walls on building facades, this study proposes an optimization scheme for dynamic living plant walls (DLWS). By combining dynamic building facades with living plant walls, this study analyzes the effectiveness of DLWS, fixed living plant walls (LWS), and dynamic shading sails (DSS) in regulating indoor temperature and humidity through controlled experiments. The results showed that DLWS and LWS had the same effect on cooling, reducing the average indoor temperature by 3.6 °C during the daytime. Further, DLWS was able to increase the indoor air humidity within the appropriate range, which was lower than the LWS humidity by 6.9 RH. DLWS had a better cooling effect compared to DSS, and DLWS can reduce the indoor temperature by 2.7. The results authenticate the performance advantages and the possibility of applying dynamic plant living walls in practice. © 2024 Elsevier Ltd","Dynamic plant living wall; Indoor thermal environment; Vertical greening system","Building facades; Dynamic plant living wall; Indoor humidities; Indoor temperature; Indoor thermal environments; Long-term effects; Optimization scheme; Reduce energy consumption; Vertical greening system; Wall systems; Green buildings","Natural Science Foundation of Shandong Province, (ZR202102220437); Qingdao Social Science Planning, (2024RKY0103); China Scholarship Council, CSC, (202308370250)","This research was funded by Grant for the Natural Science Foundation of Shandong Province (No. ZR202102220437), The 2024 Qingdao Social Science Planning Research Project, Key R&D Program (Soft Science Project) of Shandong Province, China (No. 2024RKY0103) and China Scholarship Council (Grant No. 202308370250).","C. Jia; Qingdao City, No.11 Fushun Road, North District, Shandong Province, China; email: jiachao@qut.edu.cn","","Elsevier Ltd","23527102","","","","English","J. Build. Eng.","Article","Final","","Scopus","2-s2.0-85208287543"
"Kittas C.","Kittas, C. (7006010210)","7006010210","A simple climagraph for characterizing regional suitability for greenhouse cropping in Greece","1996","Agricultural and Forest Meteorology","78","1-2","","133","141","18","10.1016/0168-1923(95)02246-5","https://www.scopus.com/pages/publications/0029667147?origin=resultslist","University of Thessalia, School of Technological Sciences, Department of Agriculture, Crop and Animal Production, Pedion Areos, 38334 Volos, Greece","Kittas C., University of Thessalia, School of Technological Sciences, Department of Agriculture, Crop and Animal Production, Pedion Areos, 38334 Volos, Greece","A climatic analysis is presented for the rational development of crops under cover in Greece. From the climatic requirements of thermophile species commonly grown in greenhouses in Greece, we have characterised the corresponding outside climate requirements and constructed the climagraphs for different regions of Greece. These graphs combine the average monthly minimum and maximum air temperatures versus the corresponding global irradiance and allows delimiting the appropriate climatic periods for cultivation of thermophile species, with and without air conditioning. These climagraphs may be used for the primary assessment of suitability for the development of crops under cover in a given area. From its application over different regions in Greece it can be concluded that: (1) natural ventilation is insufficient from May to September over the whole of the country; (2) summer greenhouse crops can only be grown in Crete without evaporative cooling where dynamic ventilation and shading are sufficient; (3) winter cultivation in unheated greenhouses is only possible in Crete and (4) spring cropping under cover would be the principal use of greenhouses with autumn cultivation envisioned as a merely complementary cropping season. © 1996 Elsevier Science B.V. All rights reserved.","","Greece; climagraph; global irradiance; greenhouse cropping; regional climate analysis; regional growing season; thermophile species","","","","","Elsevier","01681923","","AFMEE","","English","Agric. For. Meterol.","Article","Final","","Scopus","2-s2.0-0029667147"
"Wellershoff F.; Lori G.; Zobec M.; Osterland K.","Wellershoff, F. (15046223800); Lori, G. (6601973591); Zobec, M. (55346024000); Osterland, K. (7801504849)","15046223800; 6601973591; 55346024000; 7801504849","Structural design of blast enhanced cable net facades","2013","COST Action TU0905 Mid-Term Conference on Structural Glass - Proceedings of COST Action TU0905 Mid-Term Conference on Structural Glass","","","","121","131","5","10.1201/b14563-19","https://www.scopus.com/pages/publications/84878797097?origin=resultslist","HafenCity Universität Hamburg, Germany; Permasteelisa Group R and D, Vittorio Veneto, Italy; Gartner Steel and Glass, Würzburg, Germany","Wellershoff F., HafenCity Universität Hamburg, Germany; Lori G., Permasteelisa Group R and D, Vittorio Veneto, Italy; Zobec M., Permasteelisa Group R and D, Vittorio Veneto, Italy; Osterland K., Gartner Steel and Glass, Würzburg, Germany","The dynamic behavior of facades under shock waves with short time durations but high impulse loads requires specialized design methods and structural components. In the numerical analysis the aero elastic damping of flexible facades can be considered. The connections between the façade elements itself as well as the connections to the primary building structure can be designed to dissipate higher shares of energy by plastic deformation. Additional project unique fuse connections were developed for the World Trade Center Tower 3 in NY to limit the connection forces to the primary structure. The structural system changes from a system for ""classical"" loads to a structural system for ""blast loads"". This system change is triggered by overload fuses. © 2013 Taylor & Francis Group, London.","","Facades; Glass; International trade; Shock waves; Building structure; Cable-net facades; Connection force; Dynamic behaviors; Primary structures; Structural component; Structural systems; World Trade Center; Structural design","","","","","CRC Press/Balkema","","978-113800044-5","","","English","COST Action TU Mid-Term Conf. Struct. Glass - Proc. COST Action TU Mid-Term Conf. Struct. Glass","Conference paper","Final","","Scopus","2-s2.0-84878797097"
"Amadio C.; Bedon C.","Amadio, Claudio (13004727300); Bedon, Chiara (57217221032)","13004727300; 57217221032","Elastoplastic dissipative devices for the mitigation of blast resisting cable-supported glazing façades","2012","Engineering Structures","39","","","103","115","49","10.1016/j.engstruct.2012.02.006","https://www.scopus.com/pages/publications/84858710403?origin=resultslist","University of Trieste, Department of Civil Engineering and Architecture, 34127 Trieste, Piazzale Europa 1, Italy","Amadio C., University of Trieste, Department of Civil Engineering and Architecture, 34127 Trieste, Piazzale Europa 1, Italy; Bedon C., University of Trieste, Department of Civil Engineering and Architecture, 34127 Trieste, Piazzale Europa 1, Italy","The paper investigates the dynamic behavior of a structural cable-supported glass-steel façade subjected to high-level air blast loads. In order to describe accurately the dynamic response of the examined façade, both a sophisticated FE-model and a geometrically simplified but equivalently accurate lumped-mass FE-model are presented. These models, appropriately calibrated to dynamic experimental and numerical results on previous efforts, were used to highlight the criticalities of the façade (dynamic tensile stresses, deflections and velocities of pretensioned cables and laminated glass panels). Since axial forces in cables abruptly increase when explosion occurs, specific dissipative devices applied at the top or at the bottom of the pretensioned cables are proposed to improve the global response of the glass-steel curtain wall under the impact of a high-level blast loading, and their structural benefits are investigated. For the studied cases, opportunely calibrated elastoplastic devices allow reducing the axial forces in cables and cutting down lightly the maximum tensile stresses in glass panes. At last, by means of an energy-based approach, a series of design rules are developed to estimate realistically the response of the cable-supported façade and to define the optimal mechanical parameters for the proposed dissipative mechanism. © 2012 Elsevier Ltd.","Air blast load; Cable-supported glazing façade; Elastoplastic devices; Energy dissipation","Aerodynamic loads; Axial flow; Dynamic response; Energy dissipation; Glass; Glazes; Tensile stress; Air blast; Axial forces; Blast loading; Curtain walls; Design rules; Dissipative devices; Dissipative mechanisms; Dynamic behaviors; Elasto-plastic; Elastoplastic devices; Glass panes; Global response; Laminated glass; Mechanical parameters; Numerical results; Pre-tensioned cables; accuracy assessment; dynamic analysis; dynamic response; elastoplasticity; experimental study; loading; numerical model; structural analysis; structural response; tensile stress; wind velocity; Cables","","","C. Bedon; University of Trieste, Department of Civil Engineering and Architecture, 34127 Trieste, Piazzale Europa 1, Italy; email: chiara.bedon@phd.units.it","","","01410296","","ENSTD","","English","Eng. Struct.","Article","Final","","Scopus","2-s2.0-84858710403"
